證券代碼	簡稱	年月日	收盤價
Y9999  	加權指數     	20000104	 8756.55
Y9999  	加權指數     	20000105	 8849.87
Y9999  	加權指數     	20000106	 8922.03
Y9999  	加權指數     	20000107	 8845.47
Y9999  	加權指數     	20000110	 9102.60
Y9999  	加權指數     	20000111	 8927.03
Y9999  	加權指數     	20000112	 9144.65
Y9999  	加權指數     	20000113	 9107.19
Y9999  	加權指數     	20000114	 9023.24
Y9999  	加權指數     	20000115	 9191.37
Y9999  	加權指數     	20000117	 9315.43
Y9999  	加權指數     	20000118	 9250.19
Y9999  	加權指數     	20000119	 9151.44
Y9999  	加權指數     	20000120	 9136.95
Y9999  	加權指數     	20000121	 9255.94
Y9999  	加權指數     	20000124	 9387.07
Y9999  	加權指數     	20000125	 9372.37
Y9999  	加權指數     	20000126	 9581.96
Y9999  	加權指數     	20000127	 9628.98
Y9999  	加權指數     	20000128	 9696.91
Y9999  	加權指數     	20000129	 9636.38
Y9999  	加權指數     	20000131	 9744.89
Y9999  	加權指數     	20000201	 9856.39
Y9999  	加權指數     	20000209	10008.88
Y9999  	加權指數     	20000210	10057.67
Y9999  	加權指數     	20000211	10128.67
Y9999  	加權指數     	20000214	 9971.45
Y9999  	加權指數     	20000215	 9957.74
Y9999  	加權指數     	20000216	10064.49
Y9999  	加權指數     	20000217	10202.20
Y9999  	加權指數     	20000218	10096.38
Y9999  	加權指數     	20000219	10161.05
Y9999  	加權指數     	20000221	 9912.67
Y9999  	加權指數     	20000222	 9731.93
Y9999  	加權指數     	20000223	 9642.26
Y9999  	加權指數     	20000224	 9599.17
Y9999  	加權指數     	20000225	 9432.49
Y9999  	加權指數     	20000229	 9435.94
Y9999  	加權指數     	20000301	 9689.10
Y9999  	加權指數     	20000302	 9543.82
Y9999  	加權指數     	20000303	 9588.03
Y9999  	加權指數     	20000304	 9517.97
Y9999  	加權指數     	20000306	 9367.91
Y9999  	加權指數     	20000307	 9380.07
Y9999  	加權指數     	20000308	 9389.49
Y9999  	加權指數     	20000309	 9587.27
Y9999  	加權指數     	20000310	 9429.60
Y9999  	加權指數     	20000313	 8811.95
Y9999  	加權指數     	20000314	 8835.58
Y9999  	加權指數     	20000315	 8640.03
Y9999  	加權指數     	20000316	 8682.76
Y9999  	加權指數     	20000317	 8763.27
Y9999  	加權指數     	20000320	 8536.05
Y9999  	加權指數     	20000321	 9004.48
Y9999  	加權指數     	20000322	 9069.39
Y9999  	加權指數     	20000323	 9533.87
Y9999  	加權指數     	20000324	 9482.64
Y9999  	加權指數     	20000327	 9807.57
Y9999  	加權指數     	20000328	 9856.60
Y9999  	加權指數     	20000329	 9805.69
Y9999  	加權指數     	20000330	 9931.94
Y9999  	加權指數     	20000331	 9854.95
Y9999  	加權指數     	20000401	10050.43
Y9999  	加權指數     	20000405	10186.17
Y9999  	加權指數     	20000406	 9969.28
Y9999  	加權指數     	20000407	 9921.03
Y9999  	加權指數     	20000408	 9934.57
Y9999  	加權指數     	20000410	10127.48
Y9999  	加權指數     	20000411	10068.05
Y9999  	加權指數     	20000412	 9911.39
Y9999  	加權指數     	20000413	 9662.60
Y9999  	加權指數     	20000414	 9374.61
Y9999  	加權指數     	20000415	 8866.80
Y9999  	加權指數     	20000417	 8993.68
Y9999  	加權指數     	20000418	 9307.03
Y9999  	加權指數     	20000419	 9104.40
Y9999  	加權指數     	20000420	 9109.05
Y9999  	加權指數     	20000421	 9120.48
Y9999  	加權指數     	20000424	 8808.09
Y9999  	加權指數     	20000425	 8921.12
Y9999  	加權指數     	20000426	 8535.96
Y9999  	加權指數     	20000427	 8541.95
Y9999  	加權指數     	20000428	 8824.36
Y9999  	加權指數     	20000429	 8777.35
Y9999  	加權指數     	20000502	 8638.75
Y9999  	加權指數     	20000503	 8420.00
Y9999  	加權指數     	20000504	 8425.38
Y9999  	加權指數     	20000505	 8698.53
Y9999  	加權指數     	20000506	 8657.13
Y9999  	加權指數     	20000508	 8616.18
Y9999  	加權指數     	20000509	 8635.84
Y9999  	加權指數     	20000510	 8559.87
Y9999  	加權指數     	20000511	 8349.91
Y9999  	加權指數     	20000512	 8560.44
Y9999  	加權指數     	20000515	 8465.02
Y9999  	加權指數     	20000516	 8727.82
Y9999  	加權指數     	20000517	 9085.74
Y9999  	加權指數     	20000518	 9087.21
Y9999  	加權指數     	20000519	 9119.77
Y9999  	加權指數     	20000520	 8820.35
Y9999  	加權指數     	20000522	 8807.57
Y9999  	加權指數     	20000523	 8671.01
Y9999  	加權指數     	20000524	 8500.41
Y9999  	加權指數     	20000525	 8438.10
Y9999  	加權指數     	20000526	 8559.46
Y9999  	加權指數     	20000529	 8588.25
Y9999  	加權指數     	20000530	 8764.42
Y9999  	加權指數     	20000531	 8939.52
Y9999  	加權指數     	20000601	 8842.63
Y9999  	加權指數     	20000602	 8883.45
Y9999  	加權指數     	20000603	 8935.64
Y9999  	加權指數     	20000605	 8958.21
Y9999  	加權指數     	20000607	 9115.47
Y9999  	加權指數     	20000608	 9067.88
Y9999  	加權指數     	20000609	 9036.66
Y9999  	加權指數     	20000612	 8955.44
Y9999  	加權指數     	20000613	 8891.09
Y9999  	加權指數     	20000614	 8935.23
Y9999  	加權指數     	20000615	 8844.97
Y9999  	加權指數     	20000616	 8832.15
Y9999  	加權指數     	20000617	 8770.80
Y9999  	加權指數     	20000619	 8751.10
Y9999  	加權指數     	20000620	 8690.66
Y9999  	加權指數     	20000621	 8637.60
